[INFO] step: 12500/16586, total_loss: 1.034294, ctc_loss: 0.924878, rmse_loss: 0.021883, cer: 0.44, elapsed: 1.58s 333.18m 5.55h, lr: 0.000100
[INFO] step: 12600/16586, total_loss: 1.223750, ctc_loss: 1.111340, rmse_loss: 0.022482, cer: 0.44, elapsed: 1.55s 335.59m 5.59h, lr: 0.000100
[INFO] step: 12700/16586, total_loss: 1.102832, ctc_loss: 0.984133, rmse_loss: 0.023740, cer: 0.44, elapsed: 1.03s 338.00m 5.63h, lr: 0.000100
[INFO] step: 12800/16586, total_loss: 0.961533, ctc_loss: 0.846813, rmse_loss: 0.022944, cer: 0.44, elapsed: 1.33s 340.37m 5.67h, lr: 0.000100
[INFO] step: 12900/16586, total_loss: 1.119793, ctc_loss: 1.002696, rmse_loss: 0.023420, cer: 0.44, elapsed: 1.28s 342.80m 5.71h, lr: 0.000100
[INFO] step: 13000/16586, total_loss: 0.833505, ctc_loss: 0.721572, rmse_loss: 0.022387, cer: 0.44, elapsed: 1.37s 345.26m 5.75h, lr: 0.000100
[INFO] step: 13100/16586, total_loss: 0.809133, ctc_loss: 0.700722, rmse_loss: 0.021682, cer: 0.44, elapsed: 1.71s 347.66m 5.79h, lr: 0.000100
[INFO] step: 13200/16586, total_loss: 0.953620, ctc_loss: 0.845876, rmse_loss: 0.021549, cer: 0.44, elapsed: 1.95s 350.09m 5.83h, lr: 0.000100
[INFO] step: 13300/16586, total_loss: 0.910830, ctc_loss: 0.801413, rmse_loss: 0.021883, cer: 0.44, elapsed: 1.10s 352.52m 5.88h, lr: 0.000100
[INFO] step: 13400/16586, total_loss: 1.051682, ctc_loss: 0.944578, rmse_loss: 0.021421, cer: 0.44, elapsed: 1.79s 354.92m 5.92h, lr: 0.000100
[INFO] step: 13500/16586, total_loss: 1.069256, ctc_loss: 0.960168, rmse_loss: 0.021818, cer: 0.44, elapsed: 1.28s 357.32m 5.96h, lr: 0.000100
[INFO] step: 13600/16586, total_loss: 0.856113, ctc_loss: 0.750907, rmse_loss: 0.021041, cer: 0.44, elapsed: 1.58s 359.72m 6.00h, lr: 0.000100
[INFO] step: 13700/16586, total_loss: 0.966095, ctc_loss: 0.857478, rmse_loss: 0.021723, cer: 0.44, elapsed: 1.52s 362.12m 6.04h, lr: 0.000100
[INFO] step: 13800/16586, total_loss: 1.041213, ctc_loss: 0.937546, rmse_loss: 0.020733, cer: 0.44, elapsed: 1.61s 364.49m 6.07h, lr: 0.000100
[INFO] step: 13900/16586, total_loss: 0.791110, ctc_loss: 0.679982, rmse_loss: 0.022226, cer: 0.44, elapsed: 1.11s 366.96m 6.12h, lr: 0.000100
[INFO] step: 14000/16586, total_loss: 0.792090, ctc_loss: 0.685500, rmse_loss: 0.021318, cer: 0.44, elapsed: 1.59s 369.37m 6.16h, lr: 0.000100
[INFO] step: 14100/16586, total_loss: 0.997976, ctc_loss: 0.887584, rmse_loss: 0.022078, cer: 0.44, elapsed: 1.59s 371.79m 6.20h, lr: 0.000100
[INFO] step: 14200/16586, total_loss: 1.072141, ctc_loss: 0.961959, rmse_loss: 0.022036, cer: 0.44, elapsed: 1.07s 374.23m 6.24h, lr: 0.000100
[INFO] step: 14300/16586, total_loss: 0.879144, ctc_loss: 0.775625, rmse_loss: 0.020704, cer: 0.44, elapsed: 1.58s 376.74m 6.28h, lr: 0.000100
[INFO] step: 14400/16586, total_loss: 1.096754, ctc_loss: 0.987201, rmse_loss: 0.021911, cer: 0.43, elapsed: 1.50s 379.16m 6.32h, lr: 0.000100
[INFO] step: 14500/16586, total_loss: 0.995515, ctc_loss: 0.895608, rmse_loss: 0.019981, cer: 0.43, elapsed: 1.73s 381.54m 6.36h, lr: 0.000100
[INFO] step: 14600/16586, total_loss: 1.054707, ctc_loss: 0.948154, rmse_loss: 0.021311, cer: 0.43, elapsed: 1.39s 383.96m 6.40h, lr: 0.000100
[INFO] step: 14700/16586, total_loss: 1.025553, ctc_loss: 0.910786, rmse_loss: 0.022954, cer: 0.43, elapsed: 1.57s 386.38m 6.44h, lr: 0.000100
[INFO] step: 14800/16586, total_loss: 0.949696, ctc_loss: 0.847017, rmse_loss: 0.020536, cer: 0.43, elapsed: 1.39s 388.79m 6.48h, lr: 0.000100
[INFO] step: 14900/16586, total_loss: 1.032762, ctc_loss: 0.924919, rmse_loss: 0.021569, cer: 0.43, elapsed: 1.12s 391.18m 6.52h, lr: 0.000100
[INFO] step: 15000/16586, total_loss: 0.922098, ctc_loss: 0.817517, rmse_loss: 0.020916, cer: 0.43, elapsed: 1.13s 393.59m 6.56h, lr: 0.000100
[INFO] step: 15100/16586, total_loss: 0.927831, ctc_loss: 0.821483, rmse_loss: 0.021270, cer: 0.43, elapsed: 1.30s 396.01m 6.60h, lr: 0.000100
[INFO] step: 15200/16586, total_loss: 1.187233, ctc_loss: 1.080523, rmse_loss: 0.021342, cer: 0.43, elapsed: 1.46s 398.40m 6.64h, lr: 0.000100
[INFO] step: 15300/16586, total_loss: 0.951614, ctc_loss: 0.837502, rmse_loss: 0.022822, cer: 0.43, elapsed: 1.54s 400.78m 6.68h, lr: 0.000100
[INFO] step: 15400/16586, total_loss: 0.931835, ctc_loss: 0.828454, rmse_loss: 0.020676, cer: 0.43, elapsed: 1.50s 403.24m 6.72h, lr: 0.000100
[INFO] step: 15500/16586, total_loss: 1.022724, ctc_loss: 0.916896, rmse_loss: 0.021166, cer: 0.43, elapsed: 1.64s 405.69m 6.76h, lr: 0.000100
[INFO] step: 15600/16586, total_loss: 0.907731, ctc_loss: 0.800643, rmse_loss: 0.021418, cer: 0.43, elapsed: 1.20s 408.16m 6.80h, lr: 0.000100
